PubMed Summary Report,2020-2026,Generated 2026-09-21

,2020,2021,2022,2023,2024,2025,Aug YTD
# Articles - [crdt] create date,1459125,1558232,1589384,1551451,1562053,1710506,1191517
medline [sb],1037026,1048712,1013679,943644,953878,960550,553912
indexingmethod_automated,286806,571353,873203,824975,708249,782690,451330
inprocess [sb],49,129,185,3407,44746,144132,94929
publisher [sb],7457,7454,11317,15167,15404,30633,149168
pubmednotmedline [sb],414593,501937,564203,589233,548002,575116,393507
all [sb],1459125,1558232,1589384,1551451,1562053,1710506,1191517
Preprints,1524,1387,842,13944,16385,19274,13880
Corrections (erratum notices),17959,19899,19198,19308,21650,25015,17806
Retractions,752,2680,2887,5977,5603,6276,6354
hasabstract (has abstract),1271957,1369091,1396852,1350484,1392947,1533953,1064875
"""Full Text""[sb] (full text links)",1426863,1529210,1565188,1527144,1538683,1682046,1165222
"""free full text""[sb] (free links)",833450,982558,1077743,1026442,1017192,1132472,764750
Free Full Text (percent),0.5712,0.6306,0.6781,0.6616,0.6512,0.6621,0.6418
orcid [auid] popular author ID,561674,694141,744472,698871,718721,809318,568351
PubMed % medline,0.7107,0.6730,0.6378,0.6082,0.6107,0.5616,0.4649
PubMed Central (PMC) Totals,791596,911720,1039488,962737,911033,1053823,774762
pmc[sb] (PMC in PubMed),711739,851338,951136,884657,864768,985400,648124
percent of PubMed from PMC,0.4878,0.5463,0.5984,0.5702,0.5536,0.5761,0.5439
pubmed pmc[sb] medline[sb],403702,441424,459821,393834,402629,458245,269863
PMC & medline % in PubMed,0.2767,0.2833,0.2893,0.2538,0.2578,0.2679,0.2265
systematic [sb] (sys reviews),34779,41021,43671,43258,46349,55264,38601
Clinical Trials *,39088,40414,37204,36192,38527,42543,25807
Cancer,233384,244285,244539,237988,243645,262370,174270
AIDS (Custom query),20217,20266,19729,19146,19955,21675,13963
Complement Med (Custom),18510,20390,20584,23979,24089,28028,19184
Light Therapy (custom),5548,5277,4561,4605,6001,6807,3958
Veterinary OR Zoo,39659,42682,42688,39522,41985,47319,32895
Etiology/Broad [filter],475929,508609,505524,491761,519352,592055,415532
Diagnosis/Broad [filter],302372,314051,306214,298588,318719,364290,257729
Therapy/Broad [filter],230840,230453,234249,226004,241538,273233,181663
Prognosis/Broad [filter],238024,253291,245213,238744,258336,301034,220296
Clinical Prediction Guides/Broad[filter],380023,417902,425014,416454,449623,522328,390920
systematic [sb] (sys reviews),0.0238,0.0263,0.0275,0.0279,0.0297,0.0323,0.0324
Clinical Trials *,0.0268,0.0259,0.0234,0.0233,0.0247,0.0249,0.0217
Cancer,0.1599,0.1568,0.1539,0.1534,0.1560,0.1534,0.1463
AIDS (Custom query),0.0139,0.0130,0.0124,0.0123,0.0128,0.0127,0.0117
Complement Med (Custom),0.0127,0.0131,0.0130,0.0155,0.0154,0.0164,0.0161
Light Therapy (custom),0.0038,0.0034,0.0029,0.0030,0.0038,0.0040,0.0033
Etiology/Broad [filter],0.3262,0.3264,0.3181,0.3170,0.3325,0.3461,0.3487
Diagnosis/Broad [filter],0.2072,0.2015,0.1927,0.1925,0.2040,0.2130,0.2163
Therapy/Broad [filter],0.1582,0.1479,0.1474,0.1457,0.1546,0.1597,0.1525
Prognosis/Broad [filter],0.1631,0.1626,0.1543,0.1539,0.1654,0.1760,0.1849
Clinical Prediction Guides/Broad[filter],0.2604,0.2682,0.2674,0.2684,0.2878,0.3054,0.3281
